Disease,Description
Allergy,"Allergies, also known as allergic diseases, are various conditions caused by hypersensitivity of the immune system to typically harmless substances in the environment."
Common Cold,"The common cold is an infection of your nose, sinuses, throat and windpipe. Colds spread easily, especially within homes, classrooms and workplaces."
Diabetes ,"Diabetes, also known as diabetes mellitus, is a group of common endocrine diseases characterized by sustained high blood sugar levels."
Gastroenteritis,Gastroenteritis is an inflammation of the gastrointestinal tract including the stomach and intestine.
Bronchial Asthma,"Asthma is a chronic lung disease affecting people of all ages. It is caused by inflammation and muscle tightening around the airways, which makes it harder to breathe."
Hypertension,Hypertension (high blood pressure) is when the pressure in your blood vessels is too high (140/90 mmHg or higher). It is common but can be serious if not treated.
Chicken pox,"Chickenpox (known medically as varicella) is caused by a virus called the varicella-zoster virus. It’s spread quickly and easily from someone who is infected. Chickenpox is most common in children under the age of 10. Children usually catch chickenpox in winter and spring, particularly between March and May."
Tuberculosis,"Tuberculosis (TB) is an infectious disease caused by bacteria that most often affects the lungs. It spreads through the air when people with TB cough, sneeze or spit."
Pneumonia,"Pneumonia is inflammation of the lungs, usually caused by an infection. Most people get better in 2 to 4 weeks, but babies, older people, and people with heart or lung conditions are at risk of getting seriously ill and may need treatment in hospital."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid, is when the thyroid gland doesn’t make enough thyroid hormones to meet your body’s needs."
Arthritis,"Arthritis literally means joint inflammation. Joints are places where two bones meet, such as your elbow or knee. There are many different types of arthritis with different causes and treatments. In some types, other organs, such as your eyes, heart, or skin, can also be affected."
Lower Urinary tract infection,Infections of the bladder (cystitis) or urethra (tube that carries urine out of the body) are known as lower UTIs.
Upper Urinary tract infection,Infections of the kidneys or ureters (tubes connecting the kidneys to the bladder) are known as upper UTIs. These can cause the same symptoms as lower UTIs
Psoriasis,"Psoriasis is a chronic (long-lasting) disease in which the immune system becomes overactive, causing skin cells to multiply too quickly."
Chronic Kidney Disease,"Chronic kidney disease (CKD) is a long-term condition where the kidneys do not work as well as they should. It's a common condition often associated with getting older. It can affect anyone, but it's more common in people who are black or of south Asian origin."
Autoimmune Diseases,"Autoimmune diseases result when your immune system is overactive, causing it to attack and damage your body's own tissues."
Stroke,"A stroke is when blood stops flowing to a part of your brain. It can affect things like speech and movement, and take a long time to recover. A stroke needs urgent medical help in hospital because it can be life-threatening."
Coronary Artery Disease,"Coronary artery disease, also called coronary heart disease, or ischemic heart disease, is a type of heart disease involving the reduction of blood flow to the cardiac muscle due to a build-up of atheromatous plaque in the arteries of the heart."
Inflammatory Bowel Disease (IBD),"Inflammatory bowel disease (IBD) is a term used to describe conditions that cause severe tummy pain and diarrhoea. IBD is long-term, but there are treatments that can help with the symptoms."
Migraine,Migraine is a genetically-influenced complex neurological disorder characterized by episodes of moderate-to-severe headache
